,hashtags,id,name,screen_name,hashtags_count
0,52YearsOfFriendship,1181832897508065280,Eswatini Government,EswatiniGovern1,3
1,AdventureTime,1181832897508065280,Eswatini Government,EswatiniGovern1,1
2,AfricaDay,1181832897508065280,Eswatini Government,EswatiniGovern1,1
3,AllHandsOnDeck,1181832897508065280,Eswatini Government,EswatiniGovern1,1
4,BottomLineSABC,1181832897508065280,Eswatini Government,EswatiniGovern1,1
5,BudgetSpeech2020,1181832897508065280,Eswatini Government,EswatiniGovern1,6
6,BuganuFestival,1181832897508065280,Eswatini Government,EswatiniGovern1,1
7,COVID19,1181832897508065280,Eswatini Government,EswatiniGovern1,351
8,CleanEswatini,1181832897508065280,Eswatini Government,EswatiniGovern1,1
9,CoronaVirusOutbreak,1181832897508065280,Eswatini Government,EswatiniGovern1,1
10,Coronavirus,1181832897508065280,Eswatini Government,EswatiniGovern1,2
11,Covid_19,1181832897508065280,Eswatini Government,EswatiniGovern1,4
12,Culture,1181832897508065280,Eswatini Government,EswatiniGovern1,1
13,DidYouKnow,1181832897508065280,Eswatini Government,EswatiniGovern1,1
14,DontBeASpreader,1181832897508065280,Eswatini Government,EswatiniGovern1,1
15,ECOT,1181832897508065280,Eswatini Government,EswatiniGovern1,1
16,EarthHour,1181832897508065280,Eswatini Government,EswatiniGovern1,1
17,Easter,1181832897508065280,Eswatini Government,EswatiniGovern1,2
18,EasterHolidays,1181832897508065280,Eswatini Government,EswatiniGovern1,1
19,Eswatini,1181832897508065280,Eswatini Government,EswatiniGovern1,10
20,EswatiniCulture,1181832897508065280,Eswatini Government,EswatiniGovern1,1
21,EswatiniNationalFlag,1181832897508065280,Eswatini Government,EswatiniGovern1,1
22,Eswatiniculture,1181832897508065280,Eswatini Government,EswatiniGovern1,1
23,Form5Results,1181832897508065280,Eswatini Government,EswatiniGovern1,1
24,GodHealOurLand,1181832897508065280,Eswatini Government,EswatiniGovern1,1
25,GoodFriday,1181832897508065280,Eswatini Government,EswatiniGovern1,2
26,GreenMamba,1181832897508065280,Eswatini Government,EswatiniGovern1,1
27,GreetLikeThePM,1181832897508065280,Eswatini Government,EswatiniGovern1,1
28,HIV,1181832897508065280,Eswatini Government,EswatiniGovern1,2
29,Incwala,1181832897508065280,Eswatini Government,EswatiniGovern1,1
30,Incwala2019,1181832897508065280,Eswatini Government,EswatiniGovern1,2
31,IngwenyamaCup,1181832897508065280,Eswatini Government,EswatiniGovern1,1
32,InternationalWomensDay,1181832897508065280,Eswatini Government,EswatiniGovern1,1
33,JCResults2019,1181832897508065280,Eswatini Government,EswatiniGovern1,2
34,MarulaFestival,1181832897508065280,Eswatini Government,EswatiniGovern1,3
35,MarulaFestival2020,1181832897508065280,Eswatini Government,EswatiniGovern1,9
36,Marulafestival,1181832897508065280,Eswatini Government,EswatiniGovern1,1
37,MbabaneHighlanders,1181832897508065280,Eswatini Government,EswatiniGovern1,1
38,Phezukomkhono,1181832897508065280,Eswatini Government,EswatiniGovern1,1
39,ResourceMobilisation,1181832897508065280,Eswatini Government,EswatiniGovern1,1
40,Soccer,1181832897508065280,Eswatini Government,EswatiniGovern1,1
41,SocialDistancing,1181832897508065280,Eswatini Government,EswatiniGovern1,1
42,SpeechfromtheThrone2020,1181832897508065280,Eswatini Government,EswatiniGovern1,1
43,StayAtHome,1181832897508065280,Eswatini Government,EswatiniGovern1,4
44,StayHome,1181832897508065280,Eswatini Government,EswatiniGovern1,4
45,StaySafe,1181832897508065280,Eswatini Government,EswatiniGovern1,2
46,Swaziland,1181832897508065280,Eswatini Government,EswatiniGovern1,1
47,Taiwan,1181832897508065280,Eswatini Government,EswatiniGovern1,1
48,Taiwan520,1181832897508065280,Eswatini Government,EswatiniGovern1,1
49,TaiwanCanHelp,1181832897508065280,Eswatini Government,EswatiniGovern1,3
50,VisitEswatini,1181832897508065280,Eswatini Government,EswatiniGovern1,2
51,WorkersDay,1181832897508065280,Eswatini Government,EswatiniGovern1,1
52,WorldAIDSDay,1181832897508065280,Eswatini Government,EswatiniGovern1,1
53,WorldBloodDonorDay,1181832897508065280,Eswatini Government,EswatiniGovern1,2
54,WorldRefugeeDay,1181832897508065280,Eswatini Government,EswatiniGovern1,1
55,covid19,1181832897508065280,Eswatini Government,EswatiniGovern1,1
56,cyberaware,1181832897508065280,Eswatini Government,EswatiniGovern1,3
57,cybersmart,1181832897508065280,Eswatini Government,EswatiniGovern1,3
58,eSwatini,1181832897508065280,Eswatini Government,EswatiniGovern1,1
59,marulafestival,1181832897508065280,Eswatini Government,EswatiniGovern1,1
60,16DaysOfActivism,2189970192,Malawi Government,MalawiGovt,1
61,2018COMESASummit,2189970192,Malawi Government,MalawiGovt,1
62,2018CensusMwResults,2189970192,Malawi Government,MalawiGovt,1
63,2018MalawiInvestmentForum,2189970192,Malawi Government,MalawiGovt,1
64,2019Elections,2189970192,Malawi Government,MalawiGovt,1
65,2019PROsRetreat,2189970192,Malawi Government,MalawiGovt,1
66,2019tobaccomarketingseason,2189970192,Malawi Government,MalawiGovt,1
67,31stausummit,2189970192,Malawi Government,MalawiGovt,1
68,56thIndependence,2189970192,Malawi Government,MalawiGovt,1
69,AFCON2021,2189970192,Malawi Government,MalawiGovt,1
70,AGCOM,2189970192,Malawi Government,MalawiGovt,1
71,AGCOMLaunch,2189970192,Malawi Government,MalawiGovt,2
72,ARIPO,2189970192,Malawi Government,MalawiGovt,1
73,ATI,2189970192,Malawi Government,MalawiGovt,14
74,AU,2189970192,Malawi Government,MalawiGovt,4
75,AfCTA,2189970192,Malawi Government,MalawiGovt,1
76,AfDB,2189970192,Malawi Government,MalawiGovt,1
77,Afcon2019,2189970192,Malawi Government,MalawiGovt,1
78,Africa,2189970192,Malawi Government,MalawiGovt,5
79,AfricaDay,2189970192,Malawi Government,MalawiGovt,2
80,AfricaDay2018,2189970192,Malawi Government,MalawiGovt,3
81,African,2189970192,Malawi Government,MalawiGovt,3
82,AfricanDay,2189970192,Malawi Government,MalawiGovt,1
83,AfricanUnion,2189970192,Malawi Government,MalawiGovt,1
84,Agriculture,2189970192,Malawi Government,MalawiGovt,2
85,Ambassador,2189970192,Malawi Government,MalawiGovt,1
86,Ansah,2189970192,Malawi Government,MalawiGovt,1
87,ArmisticeDay,2189970192,Malawi Government,MalawiGovt,2
88,ArmisticeDay100,2189970192,Malawi Government,MalawiGovt,1
89,Armyworm,2189970192,Malawi Government,MalawiGovt,1
90,BRICS,2189970192,Malawi Government,MalawiGovt,1
91,BRICS2018,2189970192,Malawi Government,MalawiGovt,3
92,BRICSZA,2189970192,Malawi Government,MalawiGovt,1
93,BasicEducation,2189970192,Malawi Government,MalawiGovt,1
94,Basketball,2189970192,Malawi Government,MalawiGovt,1
95,BeBest,2189970192,Malawi Government,MalawiGovt,2
96,BeCounted,2189970192,Malawi Government,MalawiGovt,2
97,BeCounted2018,2189970192,Malawi Government,MalawiGovt,2
98,BeOnTheWatch,2189970192,Malawi Government,MalawiGovt,1
99,Beautiful,2189970192,Malawi Government,MalawiGovt,1
100,BeautifulMalawi,2189970192,Malawi Government,MalawiGovt,1
101,Beauty,2189970192,Malawi Government,MalawiGovt,1
102,Becounted,2189970192,Malawi Government,MalawiGovt,2
103,Becounted2018,2189970192,Malawi Government,MalawiGovt,2
104,Beijing,2189970192,Malawi Government,MalawiGovt,1
105,Belgium,2189970192,Malawi Government,MalawiGovt,1
106,Benin,2189970192,Malawi Government,MalawiGovt,7
107,BestWishes,2189970192,Malawi Government,MalawiGovt,1
108,BestbutMalawian,2189970192,Malawi Government,MalawiGovt,1
109,Blantyre,2189970192,Malawi Government,MalawiGovt,1
110,BlessedIsTheHandThatGiveth,2189970192,Malawi Government,MalawiGovt,1
111,Botswana,2189970192,Malawi Government,MalawiGovt,5
112,Brazilian,2189970192,Malawi Government,MalawiGovt,1
113,British,2189970192,Malawi Government,MalawiGovt,1
114,Budget2018,2189970192,Malawi Government,MalawiGovt,1
115,Business,2189970192,Malawi Government,MalawiGovt,1
116,BuyMalawian,2189970192,Malawi Government,MalawiGovt,1
117,C10,2189970192,Malawi Government,MalawiGovt,2
118,C10Summit,2189970192,Malawi Government,MalawiGovt,37
119,C4DConference2018,2189970192,Malawi Government,MalawiGovt,5
120,CABINETRESHUFFLE,2189970192,Malawi Government,MalawiGovt,24
121,CFRLive,2189970192,Malawi Government,MalawiGovt,18
122,CHINA,2189970192,Malawi Government,MalawiGovt,1
123,CHOGM,2189970192,Malawi Government,MalawiGovt,2
124,CHOGM18,2189970192,Malawi Government,MalawiGovt,1
125,CHOGM2018,2189970192,Malawi Government,MalawiGovt,1
126,CHOGMA,2189970192,Malawi Government,MalawiGovt,1
127,COMESA,2189970192,Malawi Government,MalawiGovt,7
128,COMESASummit2018,2189970192,Malawi Government,MalawiGovt,10
129,COMMUNIQUE,2189970192,Malawi Government,MalawiGovt,1
130,CORONAVIRUS,2189970192,Malawi Government,MalawiGovt,5
131,COVID19,2189970192,Malawi Government,MalawiGovt,42
132,COVIDー19,2189970192,Malawi Government,MalawiGovt,1
133,CabinetReshuffle,2189970192,Malawi Government,MalawiGovt,1
134,Cambodia,2189970192,Malawi Government,MalawiGovt,2
135,Cameroon,2189970192,Malawi Government,MalawiGovt,1
136,Cameroun,2189970192,Malawi Government,MalawiGovt,1
137,Cannabis,2189970192,Malawi Government,MalawiGovt,1
138,CapeMaclear,2189970192,Malawi Government,MalawiGovt,2
139,Catholic,2189970192,Malawi Government,MalawiGovt,1
140,Census,2189970192,Malawi Government,MalawiGovt,1
141,CensusMalawi2018,2189970192,Malawi Government,MalawiGovt,3
142,CensusMw2018,2189970192,Malawi Government,MalawiGovt,3
143,Child,2189970192,Malawi Government,MalawiGovt,2
144,Chilembwe,2189970192,Malawi Government,MalawiGovt,1
145,China,2189970192,Malawi Government,MalawiGovt,12
146,Chinese,2189970192,Malawi Government,MalawiGovt,1
147,Christians,2189970192,Malawi Government,MalawiGovt,1
148,Christmas,2189970192,Malawi Government,MalawiGovt,5
149,ClimateChange,2189970192,Malawi Government,MalawiGovt,1
150,ClimateChangeIsReal,2189970192,Malawi Government,MalawiGovt,1
